Row, Timestamp, Series 5, Series 6, Series 7, Series 8
0   , 0.594, 0      , 0      , 0      , 0      
1   , 0.608, , , , 
2   , 0.629, , , , 
3   , 0.645, 0      , 0      , -100   , 0      
4   , 0.656, , , , 
5   , 0.668, , , , 
6   , 0.681, 0      , 0      , -100   , 0      
7   , 0.696, , , , 
8   , 0.707, , , , 
9   , 0.719, 0      , 0      , -100   , 0      
10  , 0.732, , , , 
11  , 0.745, , , , 
12  , 0.770, 0      , 0      , 100    , 0      
13  , 0.782, , , , 
14  , 0.795, , , , 
15  , 0.820, 0      , 0      , 100    , 0      
16  , 0.833, , , , 
17  , 0.847, , , , 
18  , 0.858, 0      , 0      , 100    , 0      
19  , 0.870, , , , 
20  , 0.882, , , , 
21  , 0.897, 0      , 0      , 100    , 0      
22  , 0.909, , , , 
23  , 0.921, , , , 
24  , 0.945, 0      , 0      , 100    , 0      
25  , 0.959, , , , 
26  , 0.981, , , , 
27  , 0.997, 0      , 0      , 100    , 0      
28  , 1.009, , , , 
29  , 1.019, , , , 
30  , 1.031, 0      , 0      , 100    , 0      
31  , 1.044, , , , 
32  , 1.056, , , , 
33  , 1.071, 0      , 0      , 100    , 0      
34  , 1.082, , , , 
35  , 1.095, , , , 
36  , 1.109, 0      , 0      , 100    , 0      
37  , 1.130, , , , 
38  , 1.145, , , , 
39  , 1.156, 0      , 0      , 100    , 0      
40  , 1.167, , , , 
41  , 1.179, , , , 
42  , 1.196, 0      , 0      , 100    , 0      
43  , 1.207, , , , 
44  , 1.220, , , , 
45  , 1.244, 0      , 0      , 100    , 0      
46  , 1.255, , , , 
47  , 1.270, , , , 
48  , 1.281, 0      , 0      , 100    , 0      
49  , 1.294, , , , 
50  , 1.306, , , , 
51  , 1.321, 0      , 0      , 100    , 0      
52  , 1.332, , , , 
53  , 1.344, , , , 
54  , 1.369, 0      , 0      , 100    , 0      
55  , 1.380, , , , 
56  , 1.395, , , , 
57  , 1.406, 0      , 0      , 100    , 0      
58  , 1.418, , , , 
59  , 1.430, , , , 
60  , 1.446, 0      , 0      , 100    , 0      
61  , 1.459, , , , 
62  , 1.471, , , , 
63  , 1.485, 0      , 0      , 100    , 0      
64  , 1.506, , , , 
65  , 1.521, , , , 
66  , 1.535, 0      , 0      , 100    , 0      
67  , 1.546, , , , 
68  , 1.557, , , , 
69  , 1.570, 0      , 0      , 100    , 0      
70  , 1.582, , , , 
71  , 1.597, , , , 
72  , 1.622, 0      , 0      , 100    , 0      
73  , 1.634, , , , 
74  , 1.645, , , , 
75  , 1.656, 0      , 0      , 100    , 0      
76  , 1.668, , , , 
77  , 1.680, , , , 
78  , 1.695, 0      , 0      , 100    , 0      
79  , 1.706, , , , 
80  , 1.718, , , , 
81  , 1.731, 0      , 0      , 100    , 0      
82  , 1.746, , , , 
83  , 1.757, , , , 
84  , 1.769, 0      , 0      , 100    , 0      
85  , 1.795, , , , 
86  , 1.806, , , , 
87  , 1.821, 0      , 0      , 100    , 0      
88  , 1.832, , , , 
89  , 1.845, , , , 
90  , 1.860, 0      , 0      , 100    , 0      
91  , 1.880, , , , 
92  , 1.896, , , , 
93  , 1.919, 0      , 0      , 100    , 0      
94  , 1.935, , , , 
95  , 1.955, , , , 
96  , 1.971, 0      , 0      , 100    , 0      
97  , 1.995, , , , 
98  , 2.009, , , , 
99  , 2.031, 0      , 0      , 100    , 0      
100 , 2.046, , , , 
101 , 2.057, , , , 
102 , 2.070, 0      , 0      , 100    , 0      
103 , 2.085, , , , 
104 , 2.106, , , , 
105 , 2.121, 0      , 0      , 100    , 0      
106 , 2.132, , , , 
107 , 2.144, , , , 
108 , 2.159, 0      , 0      , 100    , 0      
109 , 2.178, , , , 
110 , 2.195, , , , 
111 , 2.206, 0      , 0      , 100    , 0      
112 , 2.219, , , , 
113 , 2.231, , , , 
114 , 2.245, 0      , 0      , 100    , 0      
115 , 2.259, , , , 
116 , 2.270, , , , 
117 , 2.294, 0      , 0      , 100    , 0      
118 , 2.306, , , , 
119 , 2.322, , , , 
120 , 2.334, 0      , 0      , 100    , 0      
121 , 2.346, , , , 
122 , 2.368, , , , 
123 , 2.380, 0      , 0      , 100    , 0      
124 , 2.396, , , , 
125 , 2.418, , , , 
126 , 2.436, 0      , 0      , 100    , 0      
127 , 2.455, , , , 
128 , 2.471, , , , 
129 , 2.495, 0      , 0      , 100    , 0      
130 , 2.510, , , , 
131 , 2.530, , , , 
132 , 2.546, 0      , 0      , 100    , 0      
133 , 2.557, , , , 
134 , 2.570, , , , 
135 , 2.585, 0      , 0      , 100    , 0      
136 , 2.606, , , , 
137 , 2.621, , , , 
138 , 2.644, 0      , 0      , 100    , 0      
139 , 2.659, , , , 
140 , 2.679, , , , 
141 , 2.695, 0      , 0      , 100    , 0      
142 , 2.706, , , , 
143 , 2.719, , , , 
144 , 2.731, 0      , 0      , 100    , 0      
145 , 2.745, , , , 
146 , 2.757, , , , 
147 , 2.770, 0      , 0      , 100    , 0      
148 , 2.781, , , , 
149 , 2.792, , , , 
150 , 2.804, 0      , 0      , 100    , 0      
151 , 2.820, , , , 
152 , 2.831, , , , 
153 , 2.845, 0      , 0      , 100    , 0      
154 , 2.857, , , , 
155 , 2.872, , , , 
156 , 2.884, 0      , 0      , 100    , 0      
157 , 2.895, , , , 
158 , 2.918, , , , 
159 , 2.930, 0      , 0      , 100    , 0      
160 , 2.947, , , , 
161 , 2.959, , , , 
162 , 2.981, 0      , 0      , 100    , 0      
163 , 2.996, , , , 
164 , 3.009, , , , 
165 , 3.021, 0      , 0      , 100    , 0      
166 , 3.032, , , , 
167 , 3.045, , , , 
168 , 3.059, 0      , 0      , 100    , 0      
169 , 3.080, , , , 
170 , 3.095, , , , 
171 , 3.106, 0      , 0      , 100    , 0      
172 , 3.120, , , , 
173 , 3.134, , , , 
174 , 3.155, 0      , 0      , 100    , 0      
175 , 3.171, , , , 
176 , 3.195, , , , 
177 , 3.209, 0      , 0      , 100    , 0      
178 , 3.229, , , , 
179 , 3.245, , , , 
180 , 3.269, 0      , 0      , 100    , 0      
181 , 3.281, , , , 
182 , 3.294, , , , 
183 , 3.309, 0      , 0      , 100    , 0      
184 , 3.320, , , , 
185 , 3.331, , , , 
186 , 3.344, 0      , 0      , 100    , 0      
187 , 3.369, , , , 
188 , 3.382, , , , 
189 , 3.395, 0      , 0      , 100    , 0      
190 , 3.406, , , , 
191 , 3.419, , , , 
192 , 3.431, 0      , 0      , 100    , 0      
193 , 3.446, , , , 
194 , 3.457, , , , 
195 , 3.469, 0      , 0      , 100    , 0      
196 , 3.483, , , , 
197 , 3.503, , , , 
198 , 3.520, 0      , 0      , 100    , 0      
199 , 3.544, , , , 
200 , 3.568, , , , 
201 , 3.594, 0      , 0      , 100    , 0      
202 , 3.618, , , , 
203 , 3.644, , , , 
204 , 3.655, 0      , 0      , 100    , 0      
205 , 3.671, , , , 
206 , 3.683, , , , 
207 , 3.695, 0      , 0      , 100    , 0      
208 , 3.718, , , , 
209 , 3.730, , , , 
210 , 3.746, 0      , 0      , 100    , 0      
211 , 3.758, , , , 
212 , 3.769, , , , 
213 , 3.783, 0      , 0      , 100    , 0      
214 , 3.804, , , , 
215 , 3.819, , , , 
216 , 3.830, 0      , 0      , 100    , 0      
217 , 3.845, , , , 
218 , 3.857, , , , 
219 , 3.871, 0      , 0      , 100    , 0      
220 , 3.883, , , , 
221 , 3.894, , , , 
222 , 3.908, 0      , 0      , 100    , 0      
223 , 3.930, , , , 
224 , 3.945, , , , 
225 , 3.968, 0      , 0      , 100    , 0      
226 , 3.983, , , , 
227 , 4.001, , , , 
228 , 4.020, 0      , 0      , 100    , 0      
229 , 4.042, , , , 
230 , 4.055, , , , 
231 , 4.070, 0      , 0      , 100    , 0      
232 , 4.082, , , , 
233 , 4.095, , , , 
234 , 4.119, 0      , 0      , 100    , 0      
235 , 4.143, , , , 
236 , 4.156, , , , 
237 , 4.169, 0      , 0      , 100    , 0      
238 , 4.181, , , , 
239 , 4.194, , , , 
240 , 4.220, 0      , 0      , 100    , 0      
241 , 4.231, , , , 
242 , 4.246, , , , 
243 , 4.258, 0      , 0      , 100    , 0      
244 , 4.270, , , , 
245 , 4.284, , , , 
246 , 4.305, 0      , 0      , 100    , 0      
247 , 4.320, , , , 
248 , 4.331, , , , 
249 , 4.344, 0      , 0      , 100    , 0      
250 , 4.358, , , , 
251 , 4.379, , , , 
252 , 4.394, 0      , 0      , 100    , 0      
253 , 4.405, , , , 
254 , 4.417, , , , 
255 , 4.429, 0      , 0      , 100    , 0      
256 , 4.443, , , , 
257 , 4.454, , , , 
258 , 4.468, 0      , 0      , 100    , 0      
259 , 4.479, , , , 
260 , 4.495, , , , 
261 , 4.518, 0      , 0      , 100    , 0      
262 , 4.533, , , , 
263 , 4.554, , , , 
